Date,International_visitors,Domestic_visitors,Total_arrivals
2019-01-01 00:00:00,3085,28147,31232
2019-01-02 00:00:00,2626,33918,36544
2019-01-03 00:00:00,2882,32242,35124
2019-01-04 00:00:00,2940,31761,34701
2019-01-05 00:00:00,3294,32063,35357
2019-01-06 00:00:00,2820,32259,35079
2019-01-07 00:00:00,3133,33882,37015
2019-01-08 00:00:00,3105,31966,35071
2019-01-09 00:00:00,2644,30833,33477
2019-01-10 00:00:00,3064,34651,37715
2019-01-11 00:00:00,3575,33427,37002
2019-01-12 00:00:00,3969,36144,40113
2019-01-13 00:00:00,3152,35499,38651
2019-01-14 00:00:00,3477,29897,33374
2019-01-15 00:00:00,3932,34298,38230
2019-01-16 00:00:00,3073,33408,36481
2019-01-17 00:00:00,3360,35056,38416
2019-01-18 00:00:00,3793,35338,39131
2019-01-19 00:00:00,4276,37538,41814
2019-01-20 00:00:00,3410,34423,37833
2019-01-21 00:00:00,3870,34921,38791
2019-01-22 00:00:00,4102,32466,36568
2019-01-23 00:00:00,3375,32029,35404
2019-01-24 00:00:00,3684,33858,37542
2019-01-25 00:00:00,3736,34614,38350
2019-01-26 00:00:00,4172,35296,39468
2019-01-27 00:00:00,3310,32872,36182
2019-01-28 00:00:00,3918,33437,37355
2019-01-29 00:00:00,4227,33469,37696
2019-01-30 00:00:00,3563,25417,29980
2019-01-31 00:00:00,3758,30914,34672
2019-02-01 00:00:00,4013,34998,39011
2019-02-02 00:00:00,4564,40069,44633
2019-02-03 00:00:00,3530,39827,43357
2019-02-04 00:00:00,3679,28434,32113
2019-02-05 00:00:00,4580,33034,37614
2019-02-06 00:00:00,4107,37461,41568
2019-02-07 00:00:00,4042,35543,39585
2019-02-08 00:00:00,4001,34659,38660
2019-02-09 00:00:00,4806,33042,37848
2019-02-10 00:00:00,3753,34131,37884
2019-02-11 00:00:00,4451,34883,39334
2019-02-12 00:00:00,4597,34130,38727
2019-02-13 00:00:00,3662,34577,38239
2019-02-14 00:00:00,3857,35100,38957
2019-02-15 00:00:00,3947,35517,39464
2019-02-16 00:00:00,4343,35885,40228
2019-02-17 00:00:00,3446,35519,38965
2019-02-18 00:00:00,3729,35350,39079
2019-02-19 00:00:00,4116,33561,37677
2019-02-20 00:00:00,3558,35635,39193
2019-02-21 00:00:00,3958,35662,39620
2019-02-22 00:00:00,1455,36916,41071
2019-02-23 00:00:00,4477,37641,42118
2019-02-24 00:00:00,3773,37137,40910
2019-02-25 00:00:00,4022,36912,40214
2019-02-26 00:00:00,5905,35977,41882
2019-02-27 00:00:00,3641,36790,40431
2019-02-28 00:00:00,3877,37114,40991
2019-03-01 00:00:00,3820,42844,46664
2019-03-02 00:00:00,6488,28495,34983
2019-03-03 00:00:00,3426,29324,32750
2019-03-04 00:00:00,3923,29067,32990
2019-03-05 00:00:00,3912,26702,30614
2019-03-06 00:00:00,3463,25856,29319
2019-03-07 00:00:00,3563,32039,35602
2019-03-08 00:00:00,4019,34746,38765
2019-03-09 00:00:00,4381,33002,37383
2019-03-10 00:00:00,3218,31119,34337
2019-03-11 00:00:00,3995,30774,34769
2019-03-12 00:00:00,4143,28638,32781
2019-03-13 00:00:00,3600,28072,31672
2019-03-14 00:00:00,3950,32855,36805
2019-03-15 00:00:00,4059,35472,39531
2019-03-16 00:00:00,4245,35791,40036
2019-03-17 00:00:00,4005,34692,38697
2019-03-18 00:00:00,4201,32970,37171
2019-03-19 00:00:00,3932,30350,34282
2019-03-20 00:00:00,1944,24898,26842
2019-03-21 00:00:00,4402,38338,42740
